# Intensity Error [H,H,0] [0,0,L] DeltaE [H,-H,0]
#  shape: 12x50x1x1
1.272189e-02 1.259667e-03 3.125000e-01 9.500000e-01 1.075000e+00 0.000000e+00
1.756389e-02 1.479162e-03 3.125000e-01 1.050000e+00 1.075000e+00 0.000000e+00
1.693312e-02 1.457391e-03 3.125000e-01 1.150000e+00 1.075000e+00 0.000000e+00
2.392024e-02 1.739961e-03 3.125000e-01 1.250000e+00 1.075000e+00 0.000000e+00
2.177499e-02 1.665192e-03 3.125000e-01 1.350000e+00 1.075000e+00 0.000000e+00
3.267607e-02 2.046278e-03 3.125000e-01 1.450000e+00 1.075000e+00 0.000000e+00
2.960557e-02 1.947930e-03 3.125000e-01 1.550000e+00 1.075000e+00 0.000000e+00
4.298439e-02 2.345016e-03 3.125000e-01 1.650000e+00 1.075000e+00 0.000000e+00
2.892409e-02 1.928293e-03 3.125000e-01 1.750000e+00 1.075000e+00 0.000000e+00
4.151930e-02 2.317412e-03 3.125000e-01 1.850000e+00 1.075000e+00 0.000000e+00
4.159656e-02 2.332643e-03 3.125000e-01 1.950000e+00 1.075000e+00 0.000000e+00
4.185489e-02 2.336140e-03 3.125000e-01 2.050000e+00 1.075000e+00 0.000000e+00
4.898063e-02 2.398620e-03 3.125000e-01 2.150000e+00 1.075000e+00 0.000000e+00
4.790590e-02 2.250846e-03 3.125000e-01 2.250000e+00 1.075000e+00 0.000000e+00
5.126557e-02 2.332689e-03 3.125000e-01 2.350000e+00 1.075000e+00 0.000000e+00
4.234565e-02 2.127976e-03 3.125000e-01 2.450000e+00 1.075000e+00 0.000000e+00
4.231849e-02 2.126611e-03 3.125000e-01 2.550000e+00 1.075000e+00 0.000000e+00
4.465569e-02 2.186829e-03 3.125000e-01 2.650000e+00 1.075000e+00 0.000000e+00
3.878610e-02 2.044233e-03 3.125000e-01 2.750000e+00 1.075000e+00 0.000000e+00
4.205999e-02 2.138054e-03 3.125000e-01 2.850000e+00 1.075000e+00 0.000000e+00
3.878055e-02 2.043937e-03 3.125000e-01 2.950000e+00 1.075000e+00 0.000000e+00
3.180351e-02 1.854844e-03 3.125000e-01 3.050000e+00 1.075000e+00 0.000000e+00
3.400143e-02 1.924972e-03 3.125000e-01 3.150000e+00 1.075000e+00 0.000000e+00
3.246601e-02 1.874449e-03 3.125000e-01 3.250000e+00 1.075000e+00 0.000000e+00
3.029935e-02 1.813997e-03 3.125000e-01 3.350000e+00 1.075000e+00 0.000000e+00
3.247359e-02 1.893921e-03 3.125000e-01 3.450000e+00 1.075000e+00 0.000000e+00
3.197376e-02 1.979151e-03 3.125000e-01 3.550000e+00 1.075000e+00 0.000000e+00
2.222006e-02 1.745794e-03 3.125000e-01 3.650000e+00 1.075000e+00 0.000000e+00
2.628145e-02 1.882082e-03 3.125000e-01 3.750000e+00 1.075000e+00 0.000000e+00
3.354809e-02 2.126052e-03 3.125000e-01 3.850000e+00 1.075000e+00 0.000000e+00
2.073124e-02 1.676040e-03 3.125000e-01 3.950000e+00 1.075000e+00 0.000000e+00
